都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,バリアフリー情報,URL,備考
222038,1221000000,静岡県,沼津市,大平中学校,オオヒラチュウガッコウ,,,沼津市大平1144,,35.071606,138.902802,,,8.00002E+12,沼津市,,,,,,,,
222038,1221100000,静岡県,沼津市,長井崎中学校,ナガイサキチュウガッコウ,,,沼津市内浦重須字洞畑453,,35.021633,138.883499,,,8.00002E+12,沼津市,,,,,,,,
222038,1221200000,静岡県,沼津市,原中学校,ハラチュウガッコウ,,,沼津市原576,,35.125988,138.787003,,,8.00002E+12,沼津市,,,,,,,,
222038,1221300000,静岡県,沼津市,浮島中学校,ウキシマチュウガッコウ,,,沼津市平沼849,,35.147877,138.784592,,,8.00002E+12,沼津市,,,,,,,,
222038,1221400000,静岡県,沼津市,今沢中学校,イマザワチュウガッコウ,,,沼津市東原字下方通289-1,,35.125935,138.816559,,,8.00002E+12,沼津市,,,,,,,,
222038,1221500000,静岡県,沼津市,門池中学校,カドイケチュウガッコウ,,,沼津市岡一色657-1,,35.132881,138.877884,,,8.00002E+12,沼津市,,,,,,,,
222038,1221600000,静岡県,沼津市,戸田中学校,ヘダチュウガッコウ,,,沼津市戸田875,,34.964218,138.800659,,,8.00002E+12,沼津市,,,,,,,,
222038,1230100000,静岡県,沼津市,看護専門学校,カンゴセンモンガッコウ,,,沼津市大諏訪46,,35.110834,138.828692,,,8.00002E+12,沼津市,,,,,,,,
222038,1230200000,静岡県,沼津市,静浦小中一貫学校,シズウラショウチュウイッカンガッコウ,,,沼津市獅子浜17,,35.051846,138.88681,,,8.00002E+12,沼津市,,,,,,,,
222038,1230300000,静岡県,沼津市,第一小共同調理場(第一中、片浜中),ダイイチショウキョウドウチョウリジョウ(ダイイチチュウ、カタハマチュウ),,,沼津市八幡町65－1,,35.098792,138.854377,,,8.00002E+12,沼津市,,,,,,,,
222038,1230400000,静岡県,沼津市,第二小調理場,ダイニショウチョウリジョウ,,,沼津市常盤町2－32,,35.089522,138.85457,,,8.00002E+12,沼津市,,,,,,,,
222038,1230500000,静岡県,沼津市,第四小共同調理場(第三小),ダイヨンショウキョウドウチョウリジョウ(ダイサンショウ),,,沼津市御幸町4－1,,35.097668,138.863754,,,8.00002E+12,沼津市,,,,,,,,
222038,1230600000,静岡県,沼津市,第五小調理場,ダイゴショウチョウリジョウ,,,沼津市米山町9－1,,35.107358,138.863153,,,8.00002E+12,沼津市,,,,,,,,
222038,1230700000,静岡県,沼津市,開北小調理場,カイホクショウチョウリジョウ,,,沼津市高沢町17－1,,35.107253,138.854957,,,8.00002E+12,沼津市,,,,,,,,
222038,1230800000,静岡県,沼津市,千本小調理場,センボンショウチョウリジョウ,,,沼津市本字千本1910－19,,35.09679,138.847339,,,8.00002E+12,沼津市,,,,,,,,
222038,1230900000,静岡県,沼津市,片浜小調理場,カタハマショウチョウリジョウ,,,沼津市大諏訪41,,35.110834,138.828692,,,8.00002E+12,沼津市,,,,,,,,
222038,1231000000,静岡県,沼津市,金岡小共同調理場(金岡中),カナオカショウキョウドウチョウリジョウ(カナオカチュウ),,,沼津市江原町3－1,,35.118943,138.860364,,,8.00002E+12,沼津市,,,,,,,,
222038,1231100000,静岡県,沼津市,大岡小調理場,オオオカショウチョウリジョウ,,,沼津市大岡2358,,35.112835,138.87959,,,8.00002E+12,沼津市,,,,,,,,
222038,1231200000,静岡県,沼津市,静浦小中一貫学校調理場,シズウラショウチュウイッカンガッコウチョウリジョウ,,,沼津市獅子浜17,,35.051846,138.88681,,,8.00002E+12,沼津市,,,,,,,,
222038,1231300000,静岡県,沼津市,愛鷹小共同調理場(浮島小、浮島中),アシタカショウキョウドウチョウリジョウ(ウキシマショウ、ウキシマチュウ),,,沼津市西椎路673－1,,35.132457,138.830388,,,8.00002E+12,沼津市,,,,,,,,
222038,1231400000,静岡県,沼津市,大平小共同調理場(大平中、大平幼),オオヒラショウキョウドウチョウリジョウ(オオヒラチュウ、オオヒラヨウ),,,沼津市大平2200,,35.07703,138.910568,,,8.00002E+12,沼津市,,,,,,,,
222038,1231500000,静岡県,沼津市,内浦小調理場,ウチウラショウチョウリジョウ,,,沼津市内浦三津410-1,,35.028088,138.902435,,,8.00002E+12,沼津市,,,,,,,,
222038,1231600000,静岡県,沼津市,原小共同調理場(原中),ハラショウキョウドウチョウリジョウ(ハラチュウ),,,沼津市原1200,,35.128502,138.793274,,,8.00002E+12,沼津市,,,,,,,,
222038,1231700000,静岡県,沼津市,香貫小調理場,カヌキショウチョウリジョウ,,,沼津市下香貫猪沼986,,35.076247,138.884096,,,8.00002E+12,沼津市,,,,,,,,
222038,1231800000,静岡県,沼津市,西浦小調理場,ニシウラショウチョウリジョウ,,,沼津市西浦平沢255-2,,35.019066,138.856613,,,8.00002E+12,沼津市,,,,,,,,
222038,1231900000,静岡県,沼津市,門池小共同調理場（門池中）,モンイケショウキョウドウチョウリジョウ（カドイケチュウ）,,,沼津市岡一色88-2,,35.12529,138.881058,,,8.00002E+12,沼津市,,,,,,,,
222038,1232000000,静岡県,沼津市,沢田小調理場,サワダショウチョウリジョウ,,,沼津市中沢田字円丸715,,35.129158,138.852446,,,8.00002E+12,沼津市,,,,,,,,
222038,1232100000,静岡県,沼津市,原東小調理場,ハラヒガシショウチョウリジョウ,,,沼津市大塚814-1,,35.127087,138.809724,,,8.00002E+12,沼津市,,,,,,,,
222038,1232200000,静岡県,沼津市,大岡南小調理場,オオオカミナミショウチョウリジョウ,,,沼津市大岡字原田1312,,35.102867,138.875381,,,8.00002E+12,沼津市,,,,,,,,
222038,1232300000,静岡県,沼津市,第三中共同調理場(第二中、第四中),ダイサンチュウキョウドウチョウリジョウ(ダイニチュウ、ダイヨンチュウ),,,沼津市下香貫木ノ宮888,,35.078705,138.878045,,,8.00002E+12,沼津市,,,,,,,,
222038,1232400000,静岡県,沼津市,第五中共同調理場(大岡中),ダイゴチュウキョウドウチョウリジョウ(オオオカチュウ),,,沼津市五月町15-1,,35.112938,138.863586,,,8.00002E+12,沼津市,,,,,,,,
222038,1232500000,静岡県,沼津市,愛鷹中調理場,アシタカチュウチョウリジョウ,,,沼津市西椎路733,,35.134186,138.82959,,,8.00002E+12,沼津市,,,,,,,,
222038,1232600000,静岡県,沼津市,長井崎中調理場,ナガイサキチュウチョウリジョウ,,,沼津市内浦重須字洞畑453,,35.021633,138.883499,,,8.00002E+12,沼津市,,,,,,,,
222038,1232700000,静岡県,沼津市,今沢中共同調理場(今沢小),イマザワチュウキョウドウチョウリジョウ(イマザワショウ),,,沼津市東原字下方通289-1,,35.125935,138.816559,,,8.00002E+12,沼津市,,,,,,,,
222038,1232900000,静岡県,沼津市,戸田中共同調理場(戸田小),ヘダチュウキョウドウチョウリジョウ(ヘダショウ),,,沼津市戸田875,,34.964218,138.800659,,,8.00002E+12,沼津市,,,,,,,,
222038,1233100000,静岡県,沼津市,沼津高等学校・中等部,ヌマヅコウトウガッコウ・チュウトウブ,,,沼津市三枚橋字鐘突免673,,35.112713,138.866852,,,8.00002E+12,沼津市,,,,,,,,
222038,1310100000,静岡県,沼津市,キラメッセぬまづ,キラメッセヌマヅ,,,沼津市大手町1-1-4,,35.103424,138.861343,,,8.00002E+12,沼津市,,,,,,,,
222038,1310200000,静岡県,沼津市,図書館,トショカン,,,沼津市三枚橋町9-1,,35.100643,138.863403,,,8.00002E+12,沼津市,,,,,,,,
222038,1310300000,静岡県,沼津市,戸田図書館,ヘダトショカン,,,沼津市戸田845-2,,34.964218,138.800659,,,8.00002E+12,沼津市,,,,,,,,
222038,1310400000,静岡県,沼津市,市民文化センター,シミンブンカセンター,,,沼津市御幸町15-1,,35.096264,138.86399,,,8.00002E+12,沼津市,,,,,,,,
222038,1320100000,静岡県,沼津市,駿河湾深海生物館,スルガワンシンカイセイブツカン,,,沼津市戸田2710-1,,35.002037,138.789536,,,8.00002E+12,沼津市,,,,,,,,
222038,1320200000,静岡県,沼津市,歴史民俗資料館,レキシミンゾクシリョウカン,,,沼津市下香貫島郷2802-1,,35.076717,138.871735,,,8.00002E+12,沼津市,,,,,,,,
222038,1320300000,静岡県,沼津市,明治史料館,メイジシリョウカン,,,沼津市西熊堂372-1,,35.101636,138.839872,,,8.00002E+12,沼津市,,,,,,,,
222038,1320400000,静岡県,沼津市,戸田造船郷土資料博物館,ヘダゾウセンキョウドシリョウハクブツカン,,,沼津市戸田2710-1,,35.002037,138.789536,,,8.00002E+12,沼津市,,,,,,,,
222038,1320500000,静岡県,沼津市,若山牧水記念館,ワカヤマボクスイキネンカン,,,沼津市本字千本郷林1907番地の11,,35.096767,138.847366,,,8.00002E+12,沼津市,,,,,,,,
222038,1320600000,静岡県,沼津市,庄司美術館,ショウジビジュツカン,,,沼津市本字下一丁田-900-1,,35.09205,138.871179,,,8.00002E+12,沼津市,,,,,,,,
222038,1320700000,静岡県,沼津市,芹沢光治良記念館,セリザワコウジロウキネンカン,,,沼津市我入道蔓陀ヶ原517-1,,35.079408,138.861523,,,8.00002E+12,沼津市,,,,,,,,
222038,1330100000,静岡県,沼津市,沼津御用邸記念公園,ヌマヅゴヨウテイキネンコウエン,,,沼津市下香貫字島郷2802-1,,35.076717,138.871735,,,8.00002E+12,沼津市,,,,,,,,
222038,1330200000,静岡県,沼津市,帯笑園,タイショウエン,,,沼津市原字御殿場194-1,,35.125402,138.798802,,,8.00002E+12,沼津市,,,,,,,,
222038,1330300000,静岡県,沼津市,松城家住宅,マツシロケジュウタク,,,沼津市戸田72,,34.964218,138.800659,,,8.00002E+12,沼津市,,,,,,,,
222038,1410100000,静岡県,沼津市,北部保育所,ホクブホイクジョ,,,沼津市高沢町13-28,,35.118931,138.860367,,,8.00002E+12,沼津市,,,,,,,,
222038,1410200000,静岡県,沼津市,西浦保育所,ニシウラホイクジョ,,,沼津市西浦平沢200-29,,35.02049,138.862553,,,8.00002E+12,沼津市,,,,,,,,
222038,1410300000,静岡県,沼津市,大平保育所,オオヒラホイクジョ,,,沼津市大平1677,,35.073189,138.905304,,,8.00002E+12,沼津市,,,,,,,,
222038,1410400000,静岡県,沼津市,金岡保育所,カナオカホイクジョ,,,沼津市沼北町1-5-15,,35.113529,138.853775,,,8.00002E+12,沼津市,,,,,,,,
222038,1410500000,静岡県,沼津市,大岡保育所,オオオカホイクジョ,,,沼津市大岡1901-1,,35.112484,138.869076,,,8.00002E+12,沼津市,,,,,,,,
222038,1410600000,静岡県,沼津市,ときわ保育所,トキワホイクジョ,,,沼津市本字千本1906-4,,35.09679,138.847361,,,8.00002E+12,沼津市,,,,,,,,
222038,1410700000,静岡県,沼津市,戸田保育所,ヘダホイクジョ,,,沼津市戸田1031-1,,34.964218,138.800659,,,8.00002E+12,沼津市,,,,,,,,
222038,1410800000,静岡県,沼津市,大平幼稚園,オオヒラヨウチエン,,,沼津市大平2205－1,,35.07703,138.910568,,,8.00002E+12,沼津市,,,,,,,,
222038,1410900000,静岡県,沼津市,戸田幼稚園,ヘダヨウチエン,,,沼津市戸田1031-1,,34.964218,138.800659,,,8.00002E+12,沼津市,,,,,,,,
222038,1420100000,静岡県,沼津市,沼津っ子ふれあいセンター,ヌマヅッコフレアイセンター,,,沼津市大手町1-1-3,,35.103424,138.861343,,,8.00002E+12,沼津市,,,,,,,,
222038,1420200000,静岡県,沼津市,ふれあいプラザこあら,フレアイプラザコアラ,,,沼津市東原字榎田通76-1,,35.125179,138.818253,,,8.00002E+12,沼津市,,,,,,,,
222038,1420300000,静岡県,沼津市,ふれあいプラザへだっこ,フレアイプラザヘダッコ,,,沼津市戸田1031-1,,34.964218,138.800659,,,8.00002E+12,沼津市,,,,,,,,
222038,1420400000,静岡県,沼津市,せんぼん子育て支援センター,センボンコソダテシエンセンター,,,沼津市本字千本1910－19,,35.09679,138.847339,,,8.00002E+12,沼津市,,,,,,,,
222038,1430100000,静岡県,沼津市,原Ａ放課後児童クラブ,ハラＡホウカゴジドウクラブ,,,沼津市原1200,,35.128502,138.793274,,,8.00002E+12,沼津市,,,,,,,,
222038,1430200000,静岡県,沼津市,原Ｂ放課後児童クラブ,ハラＢホウカゴジドウクラブ,,,沼津市原1200,,35.128502,138.793274,,,8.00002E+12,沼津市,,,,,,,,
222038,1430300000,静岡県,沼津市,今沢放課後児童クラブ,イマザワホウカゴジドウクラブ,,,沼津市東原字榎田通76-1,,35.125179,138.818253,,,8.00002E+12,沼津市,,,,,,,,
222038,1430400000,静岡県,沼津市,大岡放課後児童クラブ,オオオカホウカゴジドウクラブ,,,沼津市大岡2358,,35.112835,138.87959,,,8.00002E+12,沼津市,,,,,,,,
222038,1430500000,静岡県,沼津市,金岡Ａ放課後児童クラブ,カナオカＡホウカゴジドウクラブ,,,沼津市江原町3－1,,35.118943,138.860364,,,8.00002E+12,沼津市,,,,,,,,
222038,1430600000,静岡県,沼津市,金岡Ｂ放課後児童クラブ,カナオカＢホウカゴジドウクラブ,,,沼津市江原町3－1,,35.118943,138.860364,,,8.00002E+12,沼津市,,,,,,,,
222038,1430700000,静岡県,沼津市,沢田Ａ放課後児童クラブ,サワダＡホウカゴジドウクラブ,,,沼津市中沢田字円丸715,,35.129158,138.852446,,,8.00002E+12,沼津市,,,,,,,,
222038,1430800000,静岡県,沼津市,原東放課後児童クラブ,ハラヒガシホウカゴジドウクラブ,,,沼津市大塚814-1,,35.127087,138.809724,,,8.00002E+12,沼津市,,,,,,,,
222038,1430900000,静岡県,沼津市,第五Ａ放課後児童クラブ,ダイゴＡホウカゴジドウクラブ,,,沼津市米山町9－1,,35.107358,138.863153,,,8.00002E+12,沼津市,,,,,,,,
222038,1431000000,静岡県,沼津市,第四Ａ放課後児童クラブ,ダイヨンＡホウカゴジドウクラブ,,,沼津市御幸町4－1,,35.097668,138.863754,,,8.00002E+12,沼津市,,,,,,,,
222038,1431100000,静岡県,沼津市,第四Ｂ放課後児童クラブ,ダイヨンＢホウカゴジドウクラブ,,,沼津市御幸町4－1,,35.097668,138.863754,,,8.00002E+12,沼津市,,,,,,,,
222038,1431200000,静岡県,沼津市,愛鷹Ａ放課後児童クラブ,アシタカＡホウカゴジドウクラブ,,,沼津市西椎路673－1,,35.132457,138.830388,,,8.00002E+12,沼津市,,,,,,,,
222038,1431300000,静岡県,沼津市,愛鷹B放課後児童クラブ,アシタカBホウカゴジドウクラブ,,,沼津市西椎路673－1,,35.132457,138.830388,,,8.00002E+12,沼津市,,,,,,,,
222038,1431400000,静岡県,沼津市,大岡南Ａ放課後児童クラブ,オオオカミナミＡホウカゴジドウクラブ,,,沼津市大岡字原田1312,,35.102867,138.875381,,,8.00002E+12,沼津市,,,,,,,,
222038,1431500000,静岡県,沼津市,"門池Ａ放課後児童クラブ
","カドイケＡホウカゴジドウクラブ
",,,沼津市岡一色88-2,,35.12529,138.881058,,,8.00002E+12,沼津市,,,,,,,,
222038,1431600000,静岡県,沼津市,"門池Ｂ放課後児童クラブ
","カドイケＢホウカゴジドウクラブ
",,,沼津市岡一色88-2,,35.12529,138.881058,,,8.00002E+12,沼津市,,,,,,,,
222038,1431700000,静岡県,沼津市,第二放課後児童クラブ,ダイニホウカゴジドウクラブ,,,沼津市常盤町2－32,,35.089522,138.85457,,,8.00002E+12,沼津市,,,,,,,,
222038,1431800000,静岡県,沼津市,第三放課後児童クラブ,ダイサンホウカゴジドウクラブ,,,沼津市下香貫字下障子3157－2,,35.080444,138.868896,,,8.00002E+12,沼津市,,,,,,,,
222038,1431900000,静岡県,沼津市,大平放課後児童クラブ,オオヒラホウカゴジドウクラブ,,,沼津市大平2200,,35.07703,138.910568,,,8.00002E+12,沼津市,,,,,,,,
222038,1432000000,静岡県,沼津市,片浜放課後児童クラブ,カタハマホウカゴジドウクラブ,,,沼津市大諏訪41,,35.110834,138.828692,,,8.00002E+12,沼津市,,,,,,,,
222038,1432100000,静岡県,沼津市,香貫Ａ放課後児童クラブ,カヌキＡホウカゴジドウクラブ,,,沼津市下香貫猪沼986,,35.076247,138.884096,,,8.00002E+12,沼津市,,,,,,,,
222038,1432200000,静岡県,沼津市,西浦放課後児童クラブ,ニシウラホウカゴジドウクラブ,,,沼津市西浦平沢200-29,,35.02049,138.862553,,,8.00002E+12,沼津市,,,,,,,,
222038,1432300000,静岡県,沼津市,浮島放課後児童クラブ,ウキシマホウカゴジドウクラブ,,,沼津市平沼811,,35.147877,138.784592,,,8.00002E+12,沼津市,,,,,,,,
222038,1432400000,静岡県,沼津市,第一放課後児童クラブ,ダイイチホウカゴジドウクラブ,,,沼津市八幡町65－1,,35.098792,138.854377,,,8.00002E+12,沼津市,,,,,,,,
222038,1432500000,静岡県,沼津市,内浦放課後児童クラブ,ウチウラホウカゴジドウクラブ,,,沼津市内浦三津410-1,,35.028088,138.902435,,,8.00002E+12,沼津市,,,,,,,,
222038,1432600000,静岡県,沼津市,静浦放課後児童クラブ,シズウラホウカゴジドウクラブ,,,沼津市獅子浜17,,35.051846,138.88681,,,8.00002E+12,沼津市,,,,,,,,
222038,1432700000,静岡県,沼津市,開北Ａ･B放課後児童クラブ,カイホクＡ･Bホウカゴジドウクラブ,,,沼津市高沢町17－1,,35.107253,138.854957,,,8.00002E+12,沼津市,,,,,,,,
222038,1440100000,静岡県,沼津市,児童発達支援センターみゆき,ジドウハッタツシエンセンターミユキ,,,沼津市東原161-1,,35.099529,138.84558,,,8.00002E+12,沼津市,,,,,,,,
