都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,種別,住所,方書,緯度,経度,口径,備考
222038,,静岡県,沼津市,消火栓,沼津市大平,,35.4.11.21,138.55.14.87,100,
222038,,静岡県,沼津市,消火栓,沼津市大平,,35.4.13.6,138.55.7.82,100,
222038,,静岡県,沼津市,消火栓,沼津市大平,,35.4.4.07,138.55.4.33,100,
222038,,静岡県,沼津市,消火栓,沼津市大平,,35.4.11.81,138.55.0.62,100,
222038,,静岡県,沼津市,消火栓,沼津市大平,,35.4.13.63,138.55.5.06,100,
222038,,静岡県,沼津市,消火栓,沼津市大平,,35.4.1.31,138.55.4.44,100,
222038,,静岡県,沼津市,消火栓,沼津市大平,,35.4.8.11,138.55.4.4,100,
222038,,静岡県,沼津市,消火栓,沼津市大平,,35.4.7.92,138.55.8.7,100,
222038,,静岡県,沼津市,消火栓,沼津市大平,,35.4.4.25,138.55.8.68,100,
222038,,静岡県,沼津市,消火栓,沼津市大平,,35.4.11.73,138.55.4.85,100,
222038,,静岡県,沼津市,消火栓,沼津市大平,,35.4.17.21,138.55.3.47,100,
222038,,静岡県,沼津市,消火栓,沼津市柳沢,,35.8.12.62,138.49.13.06,100,
222038,,静岡県,沼津市,消火栓,沼津市大平,,35.4.27.92,138.54.51.48,100,
222038,,静岡県,沼津市,消火栓,沼津市大平,,35.4.23.1,138.54.52.02,100,
222038,,静岡県,沼津市,消火栓,沼津市大平,,35.4.13.05,138.54.54.58,100,
222038,,静岡県,沼津市,消火栓,沼津市大平,,35.4.18.02,138.54.52.15,100,
222038,,静岡県,沼津市,消火栓,沼津市大平,,35.4.13.34,138.54.52.08,100,
222038,,静岡県,沼津市,消火栓,沼津市大平,,35.4.10.92,138.54.54.46,150,
222038,,静岡県,沼津市,消火栓,沼津市我入道林町,,35.4.22.03,138.51.48.14,100,
222038,,静岡県,沼津市,消火栓,沼津市我入道津島町,,35.4.31.58,138.51.47.66,200,
222038,,静岡県,沼津市,消火栓,沼津市我入道津島町,,35.4.27.68,138.51.47.05,150,
222038,,静岡県,沼津市,消火栓,沼津市我入道津島町,,35.4.29.83,138.51.44.89,200,
222038,,静岡県,沼津市,消火栓,沼津市我入道林町,,35.4.25.74,138.51.44.64,100,
222038,,静岡県,沼津市,消火栓,沼津市我入道津島町,,35.4.32.11,138.51.43.64,100,
222038,,静岡県,沼津市,消火栓,沼津市我入道浜町,,35.4.28.28,138.51.42.44,150,
222038,,静岡県,沼津市,消火栓,沼津市我入道浜方,,35.4.31.66,138.51.41.07,100,
222038,,静岡県,沼津市,消火栓,沼津市下香貫島郷,,35.4.21.45,138.52.31.13,100,
222038,,静岡県,沼津市,消火栓,沼津市下香貫島郷,,35.4.20.47,138.52.32.86,150,
222038,,静岡県,沼津市,消火栓,沼津市下香貫浜田,,35.4.29.68,138.52.23.31,150,
222038,,静岡県,沼津市,消火栓,沼津市小諏訪,,35.6.25.49,138.50.30.88,150,
222038,,静岡県,沼津市,消火栓,沼津市大諏訪,,35.6.30.29,138.50.22.25,100,
222038,,静岡県,沼津市,消火栓,沼津市大諏訪,,35.6.34.08,138.50.24.16,100,
222038,,静岡県,沼津市,消火栓,沼津市大平竹ノ後,,35.4.20.95,138.54.42.0,100,
222038,,静岡県,沼津市,消火栓,沼津市西浦河内,,35.0.25.94,138.52.26.5,75,
222038,,静岡県,沼津市,消火栓,沼津市西浦河内,,35.0.24.04,138.52.27.85,75,
222038,,静岡県,沼津市,消火栓,沼津市下香貫柿原,,35.4.22.91,138.52.20.12,100,
222038,,静岡県,沼津市,消火栓,沼津市下香貫柿原,,35.4.17.51,138.52.22.15,150,
222038,,静岡県,沼津市,消火栓,沼津市下香貫牛臥,,35.4.26.34,138.52.12.16,100,
222038,,静岡県,沼津市,消火栓,沼津市下香貫島郷,,35.4.19.49,138.52.14.61,100,
222038,,静岡県,沼津市,消火栓,沼津市下香貫塩場,,35.4.27.69,138.52.7.74,150,
222038,,静岡県,沼津市,消火栓,沼津市下香貫牛臥,,35.4.24.7,138.52.8.95,100,
222038,,静岡県,沼津市,消火栓,沼津市下香貫牛臥,,35.4.21.22,138.52.11.03,100,
222038,,静岡県,沼津市,消火栓,沼津市下香貫牛臥,,35.4.22.975,138.52.5.808,100,
222038,,静岡県,沼津市,消火栓,沼津市下香貫牛臥,,35.4.20.075,138.52.8.262,75,
222038,,静岡県,沼津市,消火栓,沼津市下香貫牛臥,,35.4.17.59,138.52.9.63,75,
222038,,静岡県,沼津市,消火栓,沼津市下香貫島郷,,35.4.15.885,138.52.10.636,150,
222038,,静岡県,沼津市,消火栓,沼津市下香貫牛臥,,35.4.20.14,138.52.1.242,100,
222038,,静岡県,沼津市,消火栓,沼津市下香貫山宮前,,35.4.16.92,138.52.4.268,100,
222038,,静岡県,沼津市,消火栓,沼津市下香貫山宮前,,35.4.14.36,138.52.6.33,100,
222038,,静岡県,沼津市,消火栓,沼津市下香貫島郷,,35.4.16.75,138.52.16.77,150,
222038,,静岡県,沼津市,消火栓,沼津市下香貫前原,,35.4.32.97,138.52.21.54,100,
222038,,静岡県,沼津市,消火栓,沼津市下香貫善太夫,,35.4.31.51,138.52.20.55,100,
222038,,静岡県,沼津市,消火栓,沼津市下香貫柿原,,35.4.19.57,138.52.18.21,100,
222038,,静岡県,沼津市,消火栓,沼津市下香貫浜田,,35.4.23.12,138.52.14.39,100,
222038,,静岡県,沼津市,消火栓,沼津市下香貫七面,,35.4.33.63,138.52.46.82,100,
222038,,静岡県,沼津市,消火栓,沼津市下香貫塩満,,35.4.29.93,138.52.47.11,100,
222038,,静岡県,沼津市,消火栓,沼津市下香貫塩満,,35.4.20.535,138.52.51.106,100,
222038,,静岡県,沼津市,消火栓,沼津市下香貫塩満,,35.4.28.52,138.52.42.53,150,
222038,,静岡県,沼津市,消火栓,沼津市下香貫塩満,,35.4.25.04,138.52.44.45,100,
222038,,静岡県,沼津市,消火栓,沼津市下香貫塩満,,35.4.20.63,138.52.45.938,150,
222038,,静岡県,沼津市,消火栓,沼津市西浦河内,,35.0.28.42,138.52.28.09,150,
222038,,静岡県,沼津市,消火栓,沼津市西浦久連,,35.1.2.57,138.52.15.86,150,
222038,,静岡県,沼津市,消火栓,沼津市西浦久連,,35.0.58.36,138.52.24.12,100,
222038,,静岡県,沼津市,消火栓,沼津市西浦久連,,35.1.1.77,138.52.21.41,150,
222038,,静岡県,沼津市,消火栓,沼津市西浦久連,,35.1.0.95,138.52.26.18,150,
222038,,静岡県,沼津市,消火栓,沼津市西浦久連,,35.1.2.01,138.52.30.88,150,
222038,,静岡県,沼津市,消火栓,沼津市西浦久連,,35.1.0.74,138.52.9.81,150,
222038,,静岡県,沼津市,消火栓,沼津市西浦久連,,35.1.4.45,138.52.27.7,100,
222038,,静岡県,沼津市,消火栓,沼津市西浦久連,,35.1.0.57,138.52.23.42,100,
222038,,静岡県,沼津市,消火栓,沼津市西浦久連９３番２号,,35.1.0.22,138.52.13.98,100,
222038,,静岡県,沼津市,消火栓,沼津市西浦平沢,,35.0.53.93,138.51.47.1,75,
222038,,静岡県,沼津市,消火栓,沼津市下香貫汐入,,35.4.17.11,138.52.53.88,100,
222038,,静岡県,沼津市,消火栓,沼津市下香貫林ノ下,,35.4.35.18,138.53.10.2,100,
222038,,静岡県,沼津市,消火栓,沼津市下香貫林ノ下,,35.4.34.26,138.53.7.876,100,
222038,,静岡県,沼津市,消火栓,沼津市下香貫塩満,,35.4.29.87,138.53.2.794,100,
222038,,静岡県,沼津市,消火栓,沼津市下香貫塩満,,35.4.25.87,138.52.59.69,100,
222038,,静岡県,沼津市,消火栓,沼津市下香貫島郷,,35.4.18.63,138.53.0.88,100,
222038,,静岡県,沼津市,消火栓,沼津市下香貫塩満,,35.4.24.91,138.52.55.11,100,
222038,,静岡県,沼津市,消火栓,沼津市下香貫清水,,35.4.20.2,138.52.57.18,400,
222038,,静岡県,沼津市,消火栓,沼津市鳥谷,,35.7.55.83,138.49.27.33,100,
