沼津市津波避難ビル一覧,,,,
名称,所在地,北緯,東経,
シャルマンコーポ沼津大黒,沼津市三園町13-15,35.088942,138.867542,
サクセス三園,沼津市三園町13-6,35.089445,138.867367,
セードルせせらぎ,沼津市玉江町6-13,35.087535,138.868204,
アイリス桃郷,沼津市志下86-1,35.067951,138.881105,
旧静浦西小学校,沼津市志下530,35.063778,138.883686,
エンゼルハイム静浦,沼津市志下327-4,35.062518,138.879496,
介護老人保健施設　サン静浦,沼津市志下344-1,35.061765,138.879448,
（株）ダイレイ,沼津市志下345-33,35.061051,138.879641,
ジェイロイヤル沼津静浦,沼津市志下588-1,35.064524,138.882948,
沼津市立静浦小中一貫学校,沼津市獅子浜17,35.051254,138.885502,
ＫＫＲホテルズ＆リゾーツ沼津はまゆう,沼津市志下192,35.066123,138.877242,
沼津市南部浄化センター,沼津市江浦7-3,35.049045,138.889517,
センシブル淡島,沼津市内浦小海117-4,35.028556,138.893175,
沼津市立内浦小学校,沼津市内浦三津410-1,35.024747,138.901294,
松涛館,沼津市内浦三津7-1,35.020303,138.896595,
沼津市立西浦小学校,沼津市西浦平沢255-2,35.019236,138.856201,
リヴァージュ西伊豆,沼津市西浦平沢283-4,35.019003,138.855488,
社会福祉法人　宏寿会,沼津市西浦古宇13-14,35.012819,138.846489,
大瀬館,沼津市西浦江梨325-1,35.024152,138.786351,
沼津市保健センター戸田分館,沼津市戸田916-2,34.973705,138.780818,
沼津市立戸田小学校,沼津市戸田883,34.972461,138.779149,
沼津市立戸田中学校,沼津市戸田875,34.971925,138.779994,
民宿　浜又,沼津市戸田493,34.969623,138.777575,
ファナック戸田クラブ,沼津市戸田3703-61,34.971241,138.767723,
金指邸,沼津市戸田3704-2,34.972208,138.764716,
粟村邸 （旧すずらん）,沼津市戸田3704-18,34.972094,138.764531,
