静岡県沼津市　津波緊急避難施設一覧表,,,
施設名,住所,緯度,経度
内浦重須地区津波避難タワー,静岡県沼津市内浦重須304-81他,35.018032 ,138.886365
西浦木負地区津波避難タワー,静岡県沼津市西浦木負216-128他,35.019827,138.878313
西浦立保地区津波避難タワー,静岡県沼津市立保22-1,35.016349,138.853138
戸田地区津波避難タワー,静岡県沼津市戸田235,34.9744366,138.779178
津波避難マウント（多比地区）,静岡県沼津市多比舟越1番地の1,35.051175,138.898079
築山,静岡県沼津市本字千本1906-4,35.084801,138.853346 
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
