"公園番号","公園名","住所","管内","No","開設","改修","種別","面積","構造","兼用個室","兼用和式","兼用手洗い","男子小便器","男子個室","男子洋式","男子和式","男子手洗い","女子個室","女子洋式","女子和式","女子手洗い","誰でも個室","誰でも手洗い","オストメイト","ベビーチェア","ベビーベッド","男子小便器(1)","幼児用小便器","経度","緯度","分類"
"200","天沼地蔵前公園","東京都杉並区天沼1- 1- 1","北","A-143","H6.3.31","","公園","9.69","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.627233486006","35.7048839205839","公園・公衆トイレ"
"201","久我山東原公園","東京都杉並区久我山5-12-27","南","A-144","H6.3.31","","公園","8.06","鉄筋","1","1","2","1","","","","","","","","","","","","","","","","139.605377188183","35.6875612321855","公園・公衆トイレ"
"202","柿木北公園","東京都杉並区上井草1-33- 3","北","A-145","H6.3.31","","公園","7.29","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.611928548619","35.7246191296174","公園・公衆トイレ"
"203","ひとみ公園","東京都杉並区高円寺南5-35- 3","北","A-146","H6.3.31","","公園","2.14","鉄筋","1","1","1","","","","","","","","","","","","","","","","","139.657327156241","35.7046731837195","公園・公衆トイレ"
"204","わかたけ公園","東京都杉並区本天沼3-39- 7","北","A-147","H6.3.31","","公園","11.96","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.622723892704","35.7170220710894","公園・公衆トイレ"
"207","こぶし公園","東京都杉並区宮前4-13- 6","北","A-148","H6.10.19","","公園","2.13","鉄筋","1","1","","","","","","","","","","","","","","","","","","139.60312129246","35.6921664092489","公園・公衆トイレ"
"209","くつかけ公園","東京都杉並区清水3- 7-18","北","A-149","H7.2.3","","公園","4.49","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.616011626204","35.7160257317518","公園・公衆トイレ"
"210","和泉西公園","東京都杉並区和泉3-47-17","南","A-150","H7.2.3","","公園","2.14","鉄筋","1","1","1","","","","","","","","","","","","","","","","","139.647645503491","35.6798989387635","公園・公衆トイレ"
"212","たんぽぽ公園","東京都杉並区南荻窪3-28- 7","北","A-151","H8.1.17","","公園","2.1","鉄筋","1","1","1","","","","","","","","","","","","","","","","","139.610894597628","35.7033147331037","公園・公衆トイレ"
"213","井草森公園（管理棟）","東京都杉並区井草4-12- 1","北","G-2","H7.10.15","","建物便所","0","鉄筋","","","","2","2","1","1","2","2","1","1","2","1","1","","","1","","","139.612396722613","35.7266407956138","公園・公衆トイレ"
"213","井草森公園A","東京都杉並区井草4-12- 1","北","A-152","H8.1.25","","公園","34.56","鉄筋","","","","3","1","","1","2","3","","3","2","","","","","","","","139.612870365901","35.7275296035634","公園・公衆トイレ"
"213","井草森公園B","東京都杉並区井草4-12- 1","北","A-153","H8.1.25","","公園","41.72","鉄筋","","","","3","1","1","","2","2","1","1","2","","","","","","","","139.611735173629","35.7272329263964","公園・公衆トイレ"
"214","富士見丘西公園","東京都杉並区久我山5-19- 1","南","A-154","H8.9.20","","公園","5.23","鉄筋","1","1","1","","","","","","","","","","","","","","","","","139.6068341549","35.6855662792383","公園・公衆トイレ"
"216","向井公園","東京都杉並区下井草3-13- 7","北","A-155","H9.1.21","","公園","2.99","鉄骨","1","1","","","","","","","","","","","","","","","","","","139.624457290293","35.7191489348754","公園・公衆トイレ"
"220","宮元公園","東京都杉並区大宮2-13-13","南","A-156","H10.8.1","","公園","2","鉄筋","1","1","","","","","","","","","","","","","","","","","","139.63665181361","35.6810020183697","公園・公衆トイレ"
"221","向井東公園","東京都杉並区下井草2-17- 2","北","A-157","H10.8.1","","公園","2","鉄筋","1","1","","","","","","","","","","","","","","","","","","139.628811204268","35.7195770766164","公園・公衆トイレ"
"222","井草東公園","東京都杉並区井草1-10-18","北","A-158","H10.8.1","","公園","2","鉄筋","1","1","","","","","","","","","","","","","","","","","","139.626849742385","35.7243796862629","公園・公衆トイレ"
"228","松庵わかくさ公園","東京都杉並区松庵3-24- 8","北","A-159","","","公園","1.76","鉄筋","1","1","","","","","","","","","","","","","","","","","","139.596198576629","35.7032599585568","公園・公衆トイレ"
"230","すずかけ公園","東京都杉並区浜田山4- 3- 6","南","A-160","","","公園","0","鉄筋","1","1","","","","","","","","","","","","","","","","","","139.633442032267","35.6828967887189","公園・公衆トイレ"
"239","柏の宮公園（南）","東京都杉並区浜田山2-5-1","南","A-162","H16.9.30","","公園","31.9","GRC","","","","","1","","1","1","1","1","","1","","","","","1","","","139.625347905029","35.6778954733124","公園・公衆トイレ"
"239","柏の宮公園（管理棟）","東京都杉並区浜田山2-5-1","南","G-3","H13.3.27","","建物便所","0","鉄筋","","","","6","3","3","","4","5","4","1","4","","","","","","","","139.626342422377","35.6775673399349","公園・公衆トイレ"
"239","柏の宮公園（北）","東京都杉並区浜田山2-5-1","南","A-161","H16.9.30","","公園","8.31","GRC","","","","3","1","","1","2","3","1","2","2","1","1","","","1","","","139.625633374191","35.6789242269519","公園・公衆トイレ"
"243","銀杏稲荷公園","東京都杉並区下井草2-15-13","北","A-163","S52.3.31","S63.3.23","公園","5.56","GRC","1","1","","1","","","","","","","","","1","1","","","","","","139.626474207195","35.7192781669792","公園・公衆トイレ"
"245","天沼弁天池公園","東京都杉並区天沼3-23-1","北","A-164","","","公園","0","","","","","1","1","","1","1","1","1","","1","","","","","","","","139.621566033647","35.7087330060712","公園・公衆トイレ"
"245","天沼弁天池公園（管理棟）","東京都杉並区天沼3-23-1","北","G-4","","","建物便所","0","","","","","","","","","","","","","","","","","","","","","139.621567256988","35.7087007574663","公園・公衆トイレ"
"246","定塚橋公園","東京都杉並区堀ノ内2-1-28","南","A-165","","","公園","0","鉄筋","","","","","","","","","","","","","1","1","","1","1","","","139.653916093494","35.6853631945374","公園・公衆トイレ"
"247","新町鳥居先公園","東京都杉並区今川4-11- 7","北","A-166","H28.3.30","","公園","5.17","鉄骨","","","","","","","","","","","","","1","1","1","1","","1","","139.599427631543","35.7157815227564","公園・公衆トイレ"
"251","角川庭園（西）","東京都杉並区荻窪3-14-22","南","G-6","","","建物便所","0","","","","","","1","1","","1","1","1","","1","","","","","","","","139.624379476192","35.698847175158","公園・公衆トイレ"
"251","角川庭園（東）","東京都杉並区荻窪3-14-22","南","G-5","","","建物便所","0","","","","","","1","1","","1","1","1","","1","1","1","1","1","","","","139.624592823759","35.698833736524","公園・公衆トイレ"
"252","松渓橋公園","東京都杉並区荻窪2-40-1","南","A-167","H21.8.28","","公園","4.74","鉄骨","","","","","","","","","","","","","1","1","1","","1","1","","139.622922760239","35.6971098355348","公園・公衆トイレ"
"254","三井の森公園（西）","東京都杉並区高井戸東1-28-2","南","A-168","H22.4.1","","公園","22.94","鉄筋","","","","1","1","","1","1","1","","1","1","1","1","1","1","1","","","139.623098735704","35.6798561565395","公園・公衆トイレ"
"254","三井の森公園（東）","東京都杉並区高井戸東1-28-2","南","A-169","H22.4.1","","公園","17.36","鉄筋","","","","1","1","","1","1","1","","1","1","1","1","","","","","","139.62415821326","35.6784004934112","公園・公衆トイレ"
"256","Aさんの庭","東京都杉並区阿佐谷北5-45-13","北","A-170","H22.6.11","","公園","26.65","鉄筋","","","","","","","","","","","","","1","1","1","1","","1","","139.6405938457","35.7112938995617","公園・公衆トイレ"
"257","やなぎ橋公園","東京都杉並区高井戸西1-31-5","南","A-171","H22.8.27","","公園","6.04","鉄骨","","","","","","","","","","","","","1","1","","1","","1","","139.61366386624","35.6825408848521","公園・公衆トイレ"
"259","桃井原っぱ公園（東）","東京都杉並区桃井3-8-1","北","A-172","H23.4.1","","公園","31.2","鉄筋","","","","3","1","1","","2","2","1","1","2","1","2","1","1","1","","","139.608067037434","35.7134604729735","公園・公衆トイレ"
"259","桃井原っぱ公園（管理棟）","東京都杉並区桃井3-8-1","北","F-5","H23.4.1","","建物付属","0","鉄筋","","","","2","1","1","","2","2","1","1","2","1","2","1","1","1","","","139.607199473161","35.7144258172717","公園・公衆トイレ"
"260","高円寺北一みどり公園","東京都杉並区高円寺北1-28-2","北","A-173","H23.10.4","","公園","5.7","鉄筋","","","","","","","","","","","","","1","1","1","1","","1","","139.657936756723","35.7083440922381","公園・公衆トイレ"
"261","和田さくらの坂公園","東京都杉並区和田1-54-28","南","A-174","H24.3.28","","公園","5.7","鉄筋","","","","","","","","","","","","","1","1","1","1","","1","","139.664892619483","35.694215533019","公園・公衆トイレ"
"269","大谷戸けやき緑地","東京都杉並区荻窪3-7-51","南","A-175","H25.3.16","","公園","11.07","鉄筋","","","","","","","","","","","","","1","1","","1","","1","","139.626558521063","35.6968234091455","公園・公衆トイレ"
"274","成田西ふれあい農業公園","東京都杉並区成田西3-18-9","南","F-6","","","建物付属","0","","","","","1","1","1","","1","2","2","","1","1","1","1","","1","","","139.623640688333","35.6914587303213","公園・公衆トイレ"
"276","下高井戸おおぞら公園（北）","東京都杉並区下高井戸2-28-23","南","A-176","H11.1.19","","公園","9.83","鉄筋","","","","1","1","","1","","1","","1","","","","","","","","","139.635834519189","35.670409446389","公園・公衆トイレ"
"276","下高井戸おおぞら公園（管理棟１F）","東京都杉並区下高井戸2-28-23","南","F-7","H29.3.9","","建物付属","0","鉄骨","","","","2","1","1","","1","2","2","","2","1","1","1","1","1","","","139.63690636366","35.6708663350488","公園・公衆トイレ"
"276","下高井戸おおぞら公園（管理棟２F）","東京都杉並区下高井戸2-28-23","南","G-7","H29.3.9","","建物便所","0","鉄骨","","","","2","1","1","","1","2","2","","2","1","1","1","1","1","","","139.637065159016","35.6708647549136","公園・公衆トイレ"
"302","阿佐谷児童遊園","東京都杉並区阿佐谷南1-18- 9","北","B-1","S25.3.31","S49.3.31","公園","3.32","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.637762605048","35.7004372016053","公園・公衆トイレ"
"303","松山児童遊園","東京都杉並区阿佐谷北3-35- 2","北","B-2","S26.1.30","S49.3.31","公園","3.32","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.632467447707","35.711282717177","公園・公衆トイレ"
"304","中瀬児童遊園","東京都杉並区下井草4- 7-15","北","B-3","S39.12.15","S53.3.31","公園","3.13","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.618962189559","35.7202488462676","公園・公衆トイレ"
"305","久我山児童遊園","東京都杉並区久我山4-36- 1","南","B-4","S27.3.31","S61.3.25","公園","5.46","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.592857318312","35.6925269504859","公園・公衆トイレ"
"306","天沼児童遊園","東京都杉並区本天沼 2-38-32","北","B-5","S27.3.31","S49.3.31","公園","3.32","鉄骨鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.626988260181","35.7145391125239","公園・公衆トイレ"
"307","観泉寺児童遊園","東京都杉並区今川 2- 6-12","北","B-6","S28.3.31","S51.3.31","公園","3.32","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.607441246977","35.7163564023052","公園・公衆トイレ"
"308","堀ノ内山谷児童遊園","東京都杉並区堀ノ内3-20-23","南","B-7","S28.3.31","H1.3.31","公園","1.65","鉄筋","1","1","1","","","","","","","","","","","","","","","","","139.648261957087","35.6915948330169","公園・公衆トイレ"
"310","上荻窪児童遊園","東京都杉並区上荻2-21- 6","北","B-8","S29.3.31","S47.3.31","公園","4.96","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.613264119156","35.7061819104556","公園・公衆トイレ"
"311","上ノ台児童遊園","東京都杉並区下井草2-31- 1","北","B-9","S29.11.12","S49.3.31","公園","3.32","鉄筋","1","1","","1","","","","","","","","","","","","","","","","139.626298415031","35.7209686564195","公園・公衆トイレ"
"316","白幡児童遊園","東京都杉並区成田東3-17-29","南","B-10","S39.12.15","H5.3.31","公園","5.72","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.634671963844","35.6925735326623","公園・公衆トイレ"
"319","なりむね児童遊園","東京都杉並区成田東5- 5- 5","南","B-11","S39.12.15","H2.3.31","公園","2.52","ﾌﾞﾛｯｸ","1","1","1","1","","","","","","","","","","","","","","","","139.629186371533","35.6982930067569","公園・公衆トイレ"
"321","神戸町児童遊園","東京都杉並区下井草5-19- 8","北","B-12","S37.3.23","H5.3.31","公園","7.29","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.615394811685","35.72384666459","公園・公衆トイレ"
"324","済美児童遊園","東京都杉並区堀ノ内2- 6- 7","南","B-13","H6.3.31","","公園","3.92","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.652002200624","35.6858507286287","公園・公衆トイレ"
"325","上荻窪第三児童遊園","東京都杉並区上荻2-36- 6","北","B-14","H6.3.31","","公園","1.65","鉄筋","1","1","1","","","","","","","","","","","","","","","","","139.611301416367","35.7088764884704","公園・公衆トイレ"
"327","大宮前児童遊園","東京都杉並区西荻南1- 6-19","北","B-15","S39.8.25","H4.3.31","公園","4","鉄筋","1","1","1","","","","","","","","","","","","","","","","","139.601094937233","35.6972997889713","公園・公衆トイレ"
"328","梅里児童遊園","東京都杉並区梅里1-14-2","南","B-16","S40.8.31","S57.3.1","公園","3.75","鉄筋","1","1","1","","","","","","","","","","","","","","","","","139.651518479104","35.6962102745163","公園・公衆トイレ"
"329","阿佐谷北児童遊園","東京都杉並区阿佐谷北1-11- 3","北","B-17","S41.2.17","H5.3.31","公園","5.76","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.641023221992","35.7059153960494","公園・公衆トイレ"
"330","西田第二児童遊園","東京都杉並区荻窪1-57-33","南","B-18","S41.3.31","H11.1.18","公園","2.14","鉄筋","1","1","1","","","","","","","","","","","","","","","","","139.626635297777","35.6950823933475","公園・公衆トイレ"
"331","富士見丘公衆便所","東京都杉並区久我山2-22-63","南","E-6","S40.3.31","H3.3.31","公衆","26.05","鉄筋","","","","3","1","","1","2","2","","2","2","","","","","","","1","139.606938567528","35.6834857264634","公園・公衆トイレ"
"332","下高井戸児童遊園","東京都杉並区下高井戸3-25- 5","南","B-19","S41.9.23","S55.3.31","公園","3.3","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.63590904556","35.6719809610388","公園・公衆トイレ"
"333","西高井戸公衆便所","東京都杉並区松庵3-28- 1","北","E-8","S41.12.23","H4.12.1","公衆","12.64","鉄筋","","","","2","1","","1","1","1","","1","1","","","","","","","1","139.596910196911","35.7010402372441","公園・公衆トイレ"
"335","荻窪第一児童遊園","東京都杉並区南荻窪2-25-16","北","B-20","H8.1.17","","公園","2.01","鉄筋","1","1","1","","","","","","","","","","","","","","","","","139.612418173783","35.6988206285629","公園・公衆トイレ"
"336","東田児童遊園","東京都杉並区成田東4-15-18","南","B-21","S42.3.31","H3.3.31","公園","5.8","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.635679197144","35.6957834902144","公園・公衆トイレ"
"337","なりむね第二児童遊園","東京都杉並区成田西1-22-16","南","B-22","S42.8.27","S55.8.23","公園","1.6","FRP","1","1","","","","","","","","","","","","","","","","","","139.631215166246","35.6891768716983","公園・公衆トイレ"
"338","上高井戸第二児童遊園","東京都杉並区上高井戸3-11-17","南","B-23","S42.12.1","H1.3.31","公園","1.65","鉄筋","1","1","1","","","","","","","","","","","","","","","","","139.614977907636","35.6766219456689","公園・公衆トイレ"
"341","和泉児童遊園","東京都杉並区和泉4-16-23","南","B-24","S43.11.21","S56.3.31","公園","3.3","鉄筋","1","1","","","","","","","","","","","","","","","","","","139.650244997944","35.6792770859701","公園・公衆トイレ"
"342","永泉寺坂公衆便所","東京都杉並区下高井戸2-21-29","南","E-12","S44.9.20","","公衆","18","鉄筋","","","","3","1","","1","","2","","2","1","","","","","","","","139.641220105312","35.6691371031144","公園・公衆トイレ"
"344","今川児童遊園","東京都杉並区今川4- 6- 1","北","B-25","S45.4.1","","公園","3.4","鉄筋","1","1","","","","","","","","","","","","","","","","","","139.599528978087","35.7145503692652","公園・公衆トイレ"
"345","久我山東児童遊園","東京都杉並区久我山5-30-25","南","B-26","S46.2.10","","公園","3.4","鉄筋","1","1","","1","","","","","","","","","","","","","","","","139.604932133245","35.6888771475764","公園・公衆トイレ"
"346","阿佐谷北第二児童遊園","東京都杉並区阿佐谷北6- 7- 8","北","B-27","S46.4.20","","公園","3.4","鉄筋","1","1","","1","","","","","","","","","","","","","","","","139.639678959896","35.714015528982","公園・公衆トイレ"
"347","高円寺北一児童遊園","東京都杉並区高円寺北1-15-22","北","B-28","S46.12.10","","公園","4.96","鉄筋","1","1","","1","","","","","","","","","","","","","","","","139.656125716625","35.7082747589725","公園・公衆トイレ"
"348","熊野橋児童遊園","東京都杉並区堀ノ内2-19- 6","南","B-29","S47.2.10","","公園","4.96","鉄筋","1","1","","1","","","","","","","","","","","","","","","","139.650598643117","35.6869094008427","公園・公衆トイレ"
"349","乙女橋児童遊園","東京都杉並区高井戸東1- 1-38","南","B-30","S47.3.31","","公園","4.96","鉄筋","1","1","","1","","","","","","","","","","","","","","","","139.621298633319","35.6779259384744","公園・公衆トイレ"
"350","西荻窪平和児童遊園","東京都杉並区西荻南3-18- 9","北","B-31","S47.3.31","","公園","4.96","鉄筋","1","1","","1","","","","","","","","","","","","","","","","139.602078679065","35.7033512875422","公園・公衆トイレ"
"354","どんぐり山児童遊園","東京都杉並区上井草3- 4-17","北","B-32","S52.6.1","","公園","5.72","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.603939649138","35.7197336676542","公園・公衆トイレ"
"355","東二児童遊園","東京都杉並区成田東3- 7-17","南","B-33","H6.3.31","","公園","6.25","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.637558344992","35.6925071153497","公園・公衆トイレ"
"360","高井戸東三丁目児童遊園","東京都杉並区高井戸東3- 7- 8","南","B-34","S57.12.1","","公園","5.46","鉄筋","1","1","","1","","","","","","","","","","","","","","","","139.619133012054","35.6833844915822","公園・公衆トイレ"
"361","天沼一丁目児童遊園","東京都杉並区天沼1- 2-11","北","B-35","S58.12.15","","公園","1.33","GRC","1","1","","","","","","","","","","","","","","","","","","139.629284385507","35.7055131131764","公園・公衆トイレ"
"1035","遊び場35番","東京都杉並区下井草2-34- 9","北","C-1","","","遊び場","0","","1","1","1","","","","","","","","","","","","","","","","","139.626199962703","35.7221256004115","公園・公衆トイレ"
"1087","遊び場87番","東京都杉並区大宮1-22-39","北","C-2","","","遊び場","0","","1","1","","","","","","","","","","","","","","","","","","139.646853188597","35.6888713555666","公園・公衆トイレ"
"1090","遊び場90番","東京都杉並区和泉2-17-47","南","C-3","S57.3.18","","遊び場","0","FRP","1","1","","","","","","","","","","","","","","","","","","139.648702249813","35.6737505617211","公園・公衆トイレ"
"1096","遊び場96番","東京都杉並区和泉1- 6-11","南","C-4","S59.4.1","","遊び場","0","GRC","1","1","1","1","","","","","","","","","","","","","","","","139.656151531009","35.6722869520891","公園・公衆トイレ"
"1108","遊び場108番","東京都杉並区荻窪2-43-36","南","C-5","H27.3.14","","遊び場","0","鉄骨","","","","","","","","","","","","","1","1","1","1","","1","","139.62201270876","35.6985136388243","公園・公衆トイレ"
"2001","八葉名いこいの森","東京都杉並区上井草4-6-10","北","D-1","S28.12.26","","いこいの森","5.53","鉄骨鉄筋","","","","","","","","","","","","","1","1","1","1","","1","","139.594228929249","35.7185350378308","公園・公衆トイレ"
"0","東高円寺公衆便所","東京都杉並区高円寺南1-13-8","北","E-10","H6.3.31","","公衆","32.62","鉄筋","","","","3","1","","1","2","2","","2","2","1","2","","","","","1","139.654981228261","35.6996534528176","公園・公衆トイレ"
"0","阿佐谷駅南口公衆便所","東京都杉並区阿佐谷南3-36-1","北","E-2","S25.10.1","S51.3.31","公衆","11.74","鉄筋","","","","2","1","1","","2","2","1","1","2","1","2","","1","1","","","139.636239136765","35.7042858296981","公園・公衆トイレ"
"0","妙法寺境内公衆便所","東京都杉並区堀ノ内3-48-12","南","E-1","S25.10.1","S62.3.31","公衆","24.03","鉄筋","","","","2","1","","1","1","2","","2","1","","","","","","","","139.65169512172","35.6918129229258","公園・公衆トイレ"
"0","高井戸西公衆便所","東京都杉並区高井戸西1-7-3","南","E-17","S49.5.18","","公衆","16.4","鉄骨鉄筋","","","","3","1","","1","1","2","","2","1","","","","","","","","139.611819553944","35.6787473636085","公園・公衆トイレ"
"0","高円寺北口公衆便所","東京都杉並区高円寺北2-5-1","北","E-4","S36.3.31","","公衆","20.86","鉄筋","","","","1","1","","1","1","2","","2","1","","","","","","","","139.649836781568","35.7055280569365","公園・公衆トイレ"
"0","西永福公衆便所","東京都杉並区永福3-36-1","南","E-5","S38.4.11","H20.8.22","公衆","24.01","鉄筋","","","","2","1","","1","1","1","","1","2","1","1","1","1","1","","","139.635746735966","35.6785653321783","公園・公衆トイレ"
