"公園番号","公園名","住所","管内","No","開設","改修","種別","面積","構造","兼用個室","兼用和式","兼用手洗い","男子小便器","男子個室","男子洋式","男子和式","男子手洗い","女子個室","女子洋式","女子和式","女子手洗い","誰でも個室","誰でも手洗い","オストメイト","ベビーチェア","ベビーベッド","男子小便器(1)","幼児用小便器","経度","緯度","分類"
"68","だいしょうじ公園","東京都杉並区堀ノ内1- 9-26","南","A-56","S50.3.31","H1.3.31","公園","1.65","鉄筋","1","1","1","","","","","","","","","","","","","","","","","139.650728119639","35.6837667735941","公園・公衆トイレ"
"69","たかはら公園","東京都杉並区高円寺北1-10- 1","北","A-57","S50.3.31","","公園","3.32","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.658049528686","35.7059558320304","公園・公衆トイレ"
"70","松ノ木北公園","東京都杉並区松ノ木3-17-16","南","A-58","S50.12.19","","公園","3.32","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.645048414144","35.694184839891","公園・公衆トイレ"
"71","高南小公園","東京都杉並区高円寺南2-47- 7","北","A-59","S50.2.19","","公園","3.32","鉄筋","1","1","","1","","","","","","","","","","","","","","","","139.64845605767","35.7019942406622","公園・公衆トイレ"
"72","上井草向山公園","東京都杉並区上井草2-39-19","北","A-60","S51.3.31","","公園","3.32","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.606216630093","35.7240185687006","公園・公衆トイレ"
"73","松渓公園","東京都杉並区荻窪1-39- 1","南","A-61","S51.3.31","H26.3.10","公園","4.98","鉄骨","","","","","","","","","","","","","1","1","","1","","1","","139.622036342823","35.6950219212561","公園・公衆トイレ"
"74","善福寺西の山公園","東京都杉並区善福寺4- 8- 2","北","A-62","S51.2.17","","公園","3.32","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.585947822758","35.716246210174","公園・公衆トイレ"
"75","すぎのこ公園","東京都杉並区下井草1-25-39","北","A-63","S51.8.6","","公園","3.3","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.63103059204","35.7163972897202","公園・公衆トイレ"
"76","阿佐谷西公園","東京都杉並区阿佐谷北2-32-21","北","A-64","S52.1.20","","公園","3.3","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.63317177678","35.7071215231754","公園・公衆トイレ"
"77","昭栄公園","東京都杉並区高井戸西1-12- 2","南","A-65","S52.3.31","","公園","3.3","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.607950130997","35.6801236540616","公園・公衆トイレ"
